candidate_id,rank,score,reasoning
CAND_0002025,1,0.9695,"Senior AI Engineer at Apple (5.9 yrs experience). Core skill match on Deep Learning, FAISS, Haystack, LangChain, NLP. Based in Trivandrum, Kerala, not a listed preferred city, and not open to relocation."
CAND_0077337,2,0.9445,"Staff Machine Learning Engineer at Paytm (7.0 yrs experience). Core skill match on BM25, Data Science, Feature Engineering, Information Retrieval, LLMs. Based in Kochi, Kerala, not a listed preferred city, but open to relocation."
CAND_0081846,3,0.9403,"Lead AI Engineer at Razorpay (6.7 yrs experience). Core skill match on BM25, Data Science, Deep Learning, Elasticsearch, Embeddings. Based in Jaipur, Rajasthan, not a listed preferred city, but open to relocation."
CAND_0018499,4,0.93,"Senior Machine Learning Engineer at Zomato (7.2 yrs experience). Core skill match on BM25, Deep Learning, Embeddings, Information Retrieval, LangChain. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0064326,5,0.9227,"Search Engineer at Sarvam AI (7.6 yrs experience). Core skill match on BM25, Deep Learning, Milvus, PyTorch, Python. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0006567,6,0.9139,"Senior AI Engineer at Meta (7.9 yrs experience). Uses plain-language descriptions (Search Backend, Model Adaptation, Vector Representations) rather than buzzwords for what is substantively the same retrieval/ranking expertise. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0079387,7,0.8978,"AI Engineer at Microsoft (6.9 yrs experience). Core skill match on BM25, BentoML, Haystack, Kubeflow, Learning to Rank. Based in Trivandrum, Kerala, not a listed preferred city, and not open to relocation."
CAND_0017093,8,0.8932,"ML Engineer at Zoho (5.9 yrs experience). Core skill match on BM25, Data Science, Embeddings, Feature Engineering, LLMs. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0020708,9,0.8855,"Search Engineer at PolicyBazaar (4.2 yrs experience). Core skill match on Data Science, Elasticsearch, Kubeflow, LLMs, LangChain. Based in Indore, Madhya Pradesh, not a listed preferred city, and not open to relocation."
CAND_0068932,10,0.8842,"ML Engineer at Krutrim (5.2 yrs experience). Core skill match on MLOps, Milvus, OpenSearch, Prompt Engineering, RAG. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0064888,11,0.8812,"ML Engineer at Verloop.io (5.8 yrs experience). Core skill match on Elasticsearch, Embeddings, Learning to Rank, MLflow, Machine Learning. Based in Vizag, Andhra Pradesh, not a listed preferred city, but open to relocation."
CAND_0007009,12,0.8806,"Recommendation Systems Engineer at Wysa (7.9 yrs experience). Core skill match on BM25, Data Science, Embeddings, Haystack, LLMs. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0052328,13,0.8739,"Recommendation Systems Engineer at Amazon (6.5 yrs experience). Core skill match on Learning to Rank, OpenSearch, Python, Recommendation Systems, Reinforcement Learning. Strong alignment with the JD's core retrieval/ranking requirements."
CAND_0011687,14,0.8726,"Senior NLP Engineer at Niramai (7.8 yrs experience). Core skill match on Embeddings, FAISS, Feature Engineering, LangChain, LlamaIndex. Based in Indore, Madhya Pradesh, not a listed preferred city, and not open to relocation."
